,,,,,,,,,,,,,,,,,,,,,
102-29124-2024,05/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flat,2372561.00,106.74,106.74,2 B/R,1,,,,1,1,,SOBHA ONE
102-29125-2024,05/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flat,1375829.00,61.60,61.60,1 B/R,1,,,,1,1,,SOBHA ONE
102-29126-2024,05/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flat,1907382.00,86.44,86.44,2 B/R,1,,,,1,1,,SOBHA ONE
102-29127-2024,05/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flat,1809630.00,74.72,74.72,1 B/R,1,,,,2,1,,SOBHA ONE
102-29128-2024,05/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flat,2352777.00,102.62,102.62,2 B/R,1,,,,1,1,,SOBHA ONE
102-29129-2024,05/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flat,1641060.00,67.76,67.76,1 B/R,1,,,,1,1,,SOBHA ONE
102-2913-2024,16/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Al Merkadh,Unit,Flat,3286800.00,133.25,133.25,2 B/R,1,,,,2,1,,Naya at District One
102-29130-2024,05/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flat,1720015.00,67.71,67.71,1 B/R,1,,,,1,1,,SOBHA ONE
102-29131-2024,05/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flat,1719940.00,68.14,68.14,1 B/R,1,,,,1,1,,SOBHA ONE
102-29132-2024,08/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 5,Building,Villa,2768542.00,168.00,168.00,3 B/R,,,,,2,1,,Haven By Aldar 3
102-29133-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Al Kifaf,Unit,Flat,2236777.00,107.78,107.78,2 B/R,1,Al Jafiliya Metro Station,Dubai Mall,Burj Khalifa,1,1,,Park Views Residences B
102-29134-2024,09/06/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI SPORTS CITY,Unit,Flat,1797000.00,112.55,112.55,3 B/R,2,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,1,1,,Sportz By Danube
102-29135-2024,09/06/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI SPORTS CITY,Unit,Flat,1013000.00,67.17,67.17,1 B/R,1,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,2,1,,Sportz By Danube
